Time(ms),Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,CO2
1790,-0.985,-0.115,-0.238,-0.527,-1.550,0.450,0
1800,-0.987,-0.111,-0.229,0.206,-1.481,0.328,780
1810,-0.976,-0.106,-0.229,0.588,-1.519,0.443,0
1820,-0.983,-0.115,-0.231,0.466,-1.374,0.511,0
1830,-0.977,-0.097,-0.233,-0.015,-1.313,0.382,0
1840,-0.978,-0.101,-0.229,-0.038,-1.206,0.458,0
1850,-0.980,-0.100,-0.235,0.008,-0.931,0.481,683
1860,-0.977,-0.099,-0.230,0.237,-0.740,0.817,0
1870,-0.977,-0.103,-0.227,0.481,-0.198,0.802,0
1880,-0.977,-0.105,-0.233,0.260,-0.237,0.901,0
1890,-0.974,-0.103,-0.232,0.015,-0.107,0.832,0
1900,-0.978,-0.109,-0.229,0.206,-0.130,0.794,614
1910,-0.978,-0.108,-0.236,0.069,-0.458,0.664,0
1920,-0.977,-0.105,-0.232,0.153,-0.687,0.740,0
1930,-0.988,-0.108,-0.233,0.214,-0.763,0.595,0
1940,-0.983,-0.107,-0.225,0.130,-0.664,0.702,0
1950,-0.974,-0.106,-0.229,0.359,-0.496,0.649,558
1960,-0.981,-0.111,-0.232,0.664,-0.008,0.763,0
1970,-0.979,-0.112,-0.231,0.321,-0.168,0.916,0
1980,-0.974,-0.110,-0.233,-0.023,-0.267,0.870,0
1990,-0.972,-0.104,-0.232,-0.366,-0.450,0.397,0
2000,-0.975,-0.101,-0.227,-0.366,-0.382,0.550,503
2010,-0.981,-0.101,-0.221,-0.366,-0.321,0.611,0
2020,-0.977,-0.101,-0.224,-0.206,-0.550,0.542,0
2030,-0.980,-0.100,-0.228,0.252,-0.595,0.313,0
2040,-0.982,-0.098,-0.223,0.443,-0.863,0.214,0
2050,-0.983,-0.102,-0.227,0.198,-0.893,0.076,436
2060,-0.981,-0.102,-0.224,-0.031,-0.962,0.244,0
2070,-0.979,-0.096,-0.222,0.076,-1.374,-0.076,0
2080,-0.980,-0.100,-0.222,-0.229,-1.313,-0.305,0
2090,-0.976,-0.105,-0.212,-0.313,-1.031,0.107,0
2100,-0.974,-0.112,-0.217,0.031,-1.405,0.076,408
2110,-0.976,-0.115,-0.219,0.031,-1.664,-0.321,0
2120,-0.979,-0.113,-0.222,-0.229,-1.740,-0.443,0
2130,-0.979,-0.113,-0.224,-0.382,-1.542,-1.076,0
2140,-0.978,-0.111,-0.224,-0.740,-1.908,-0.977,0
2150,-0.985,-0.114,-0.226,-0.916,-1.779,-0.947,391
2160,-0.976,-0.107,-0.222,-0.534,-1.237,-1.160,0
2170,-0.981,-0.105,-0.223,-0.435,-1.069,-0.924,0
2180,-0.985,-0.115,-0.224,0.038,-0.969,-1.290,0
2190,-0.980,-0.107,-0.225,0.198,-0.366,-1.221,0
2200,-0.983,-0.109,-0.229,0.519,0.031,-1.168,372
2210,-0.976,-0.111,-0.227,0.557,0.252,-1.099,0
2220,-0.985,-0.107,-0.226,0.756,0.389,-1.153,0
2230,-0.976,-0.105,-0.224,0.771,0.305,-1.130,0
2240,-0.977,-0.106,-0.219,0.397,0.321,-1.176,0
2250,-0.975,-0.096,-0.207,-0.092,0.130,-0.870,348
2260,-0.973,-0.108,-0.216,-0.443,-0.557,-0.244,0
2270,-0.973,-0.109,-0.219,-0.099,-0.847,0.244,0
2280,-0.975,-0.112,-0.228,1.153,-0.977,0.198,0
2290,-0.969,-0.111,-0.223,1.153,-1.435,0.084,0
2300,-0.977,-0.116,-0.223,0.550,-1.275,-0.122,320
2310,-0.978,-0.111,-0.213,-0.466,-0.802,-0.344,0
2320,-0.972,-0.112,-0.212,-0.458,-0.603,-0.473,0
2330,-0.976,-0.113,-0.231,-0.244,-0.527,-0.473,0
2340,-0.981,-0.106,-0.240,-0.153,-0.076,-0.405,0
2350,-0.984,-0.105,-0.238,-0.809,0.374,-0.183,303
2360,-0.981,-0.105,-0.223,-0.061,0.511,-0.145,0
2370,-0.978,-0.103,-0.223,0.611,0.359,-0.061,0
2380,-0.983,-0.096,-0.223,0.664,0.466,-0.092,0
2390,-0.975,-0.100,-0.218,0.397,-0.115,0.069,0
2400,-0.971,-0.104,-0.211,0.214,-0.313,-0.069,289
2410,-0.977,-0.101,-0.218,-0.458,-0.122,0.053,0
2420,-0.971,-0.102,-0.216,-0.130,-0.038,0.267,0
2430,-0.971,-0.108,-0.215,-0.099,0.053,0.351,0
2440,-0.972,-0.106,-0.217,-0.046,-0.214,0.435,0
2450,-0.974,-0.110,-0.215,0.527,-0.466,0.565,283
2460,-0.976,-0.107,-0.217,0.382,-0.191,0.443,0
2470,-0.983,-0.109,-0.226,0.649,-0.328,0.718,0
2480,-0.984,-0.119,-0.220,1.084,-0.687,0.489,0
2490,-0.991,-0.115,-0.218,1.573,-0.519,0.725,0
2500,-0.983,-0.111,-0.232,1.580,-1.107,0.519,289
2510,-0.985,-0.105,-0.221,2.015,-1.069,0.282,0
2520,-0.982,-0.113,-0.220,1.931,-1.176,0.344,0
2530,-0.983,-0.117,-0.221,1.504,-0.695,0.466,0
2540,-0.980,-0.115,-0.221,1.687,-0.863,0.443,0
2550,-0.977,-0.113,-0.220,1.489,-0.763,0.557,279
2560,-0.971,-0.112,-0.223,1.893,-1.634,0.481,0
2570,-0.972,-0.114,-0.225,1.641,-2.122,0.473,0
2580,-0.972,-0.117,-0.228,1.588,-2.229,0.641,0
2590,-0.976,-0.115,-0.232,1.733,-2.206,0.519,0
2600,-0.978,-0.117,-0.228,1.733,-1.893,0.580,284
2610,-0.983,-0.119,-0.226,1.489,-1.557,0.359,0
2620,-0.977,-0.118,-0.220,1.466,-1.176,0.466,0
2630,-0.972,-0.121,-0.227,1.275,-0.962,0.443,0
2640,-0.980,-0.115,-0.223,1.191,-0.817,-0.168,0
2650,-0.979,-0.115,-0.225,1.015,-0.924,-0.145,280
2660,-0.978,-0.117,-0.218,1.244,-1.412,-0.321,0
2670,-0.982,-0.114,-0.226,0.985,-1.847,-0.435,0
2680,-0.981,-0.117,-0.219,0.878,-2.122,-0.084,0
2690,-0.981,-0.114,-0.224,1.015,-2.527,-0.733,0
2700,-0.977,-0.114,-0.226,0.649,-2.084,-0.542,275
2710,-0.981,-0.112,-0.227,0.885,-2.053,-0.519,0
2720,-0.981,-0.113,-0.224,0.794,-2.092,-0.626,0
2730,-0.987,-0.113,-0.225,0.649,-1.794,-0.267,0
2740,-0.988,-0.110,-0.224,0.305,-1.435,0.061,0
2750,-0.979,-0.111,-0.226,0.000,-1.038,0.366,286
2760,-0.977,-0.106,-0.218,0.328,-0.695,0.748,0
2770,-0.976,-0.104,-0.216,0.580,-0.137,0.702,0
2780,-0.974,-0.102,-0.213,1.076,-0.832,0.939,0
2790,-0.982,-0.104,-0.218,1.214,-1.122,0.779,0
2800,-0.979,-0.100,-0.219,1.046,-1.275,0.847,273
2810,-0.984,-0.101,-0.209,0.076,-1.107,0.908,0
2820,-0.982,-0.098,-0.208,-0.099,-0.962,1.305,0
2830,-0.980,-0.103,-0.225,0.107,-1.832,1.702,0
2840,-0.984,-0.111,-0.221,0.947,-1.160,1.626,0
